exp,data,algo,error_trn,error_tst,corr_trn,corr_tst,r2_trn,r2_tst,tree_size,func_node,leaf_node,train_param,compute_time,problem
DT_npy,australian,DT,0.0,0.1594202898550725,,,1.0,0.8405797101449275,,,,83,1.8105990644814312e-06,class
DT_npy,australian,DT,0.0,0.1594202898550725,,,1.0,0.8405797101449275,,,,75,1.8123267353444859e-06,class
DT_npy,australian,DT,0.0,0.2028985507246377,,,1.0,0.7971014492753623,,,,72,0.0,class
DT_npy,australian,DT,0.0,0.21739130434782605,,,1.0,0.782608695652174,,,,74,1.8110309821971948e-06,class
DT_npy,australian,DT,0.0,0.23913043478260865,,,1.0,0.7608695652173914,,,,75,1.8105990644814312e-06,class
DT_npy,australian,DT,0.0,0.17391304347826086,,,1.0,0.8260869565217391,,,,78,0.0,class
DT_npy,australian,DT,0.0,0.1594202898550725,,,1.0,0.8405797101449275,,,,77,1.8084394759026126e-06,class
DT_npy,australian,DT,0.0,0.21014492753623193,,,1.0,0.7898550724637681,,,,72,1.8105990644814312e-06,class
DT_npy,australian,DT,0.0,0.1594202898550725,,,1.0,0.8405797101449275,,,,70,0.0,class
DT_npy,australian,DT,0.0,0.21014492753623193,,,1.0,0.7898550724637681,,,,77,1.8114628999129585e-06,class
DT_npy,australian,DT,0.0,0.2028985507246377,,,1.0,0.7971014492753623,,,,78,1.8097352290499038e-06,class
DT_npy,australian,DT,0.0,0.18840579710144922,,,1.0,0.8115942028985508,,,,76,0.0,class
DT_npy,australian,DT,0.0,0.2246376811594203,,,1.0,0.7753623188405797,,,,66,1.8093033113341401e-06,class
DT_npy,australian,DT,0.0,0.23188405797101452,,,1.0,0.7681159420289855,,,,80,0.0,class
DT_npy,australian,DT,0.0,0.23913043478260865,,,1.0,0.7608695652173914,,,,77,1.8097352290499038e-06,class
DT_npy,australian,DT,0.0,0.14492753623188404,,,1.0,0.855072463768116,,,,78,0.0,class
DT_npy,australian,DT,0.0,0.1811594202898551,,,1.0,0.8188405797101449,,,,65,1.8114628999129585e-06,class
DT_npy,australian,DT,0.0,0.19565217391304346,,,1.0,0.8043478260869565,,,,75,1.8101671467656675e-06,class
DT_npy,australian,DT,0.0,0.1811594202898551,,,1.0,0.8188405797101449,,,,84,0.0,class
DT_npy,australian,DT,0.0,0.19565217391304346,,,1.0,0.8043478260869565,,,,75,0.0,class
DT_npy,australian,DT,0.0,0.21739130434782605,,,1.0,0.782608695652174,,,,69,0.0,class
DT_npy,australian,DT,0.0,0.21014492753623193,,,1.0,0.7898550724637681,,,,78,1.8105990644814312e-06,class
DT_npy,australian,DT,0.0,0.15217391304347827,,,1.0,0.8478260869565217,,,,74,1.8097352290499038e-06,class
DT_npy,australian,DT,0.0,0.18840579710144922,,,1.0,0.8115942028985508,,,,78,0.0,class
DT_npy,australian,DT,0.0,0.21739130434782605,,,1.0,0.782608695652174,,,,71,1.8105990644814312e-06,class
DT_npy,australian,DT,0.0,0.2536231884057971,,,1.0,0.7463768115942029,,,,76,0.0,class
DT_npy,australian,DT,0.0,0.21014492753623193,,,1.0,0.7898550724637681,,,,76,1.8110309821971948e-06,class
DT_npy,australian,DT,0.0,0.2681159420289855,,,1.0,0.7318840579710145,,,,79,0.0,class
DT_npy,australian,DT,0.0,0.2246376811594203,,,1.0,0.7753623188405797,,,,70,1.8118948176287222e-06,class
DT_npy,australian,DT,0.0,0.1594202898550725,,,1.0,0.8405797101449275,,,,88,0.0,class
GP_npy,australian,GP,0.11413043478260865,0.1159420289855072,,,0.8858695652173914,0.8840579710144928,,,,none,0.00018104608508123869,class
GP_npy,australian,GP,0.10869565217391308,0.16666666666666663,,,0.8913043478260869,0.8333333333333334,,,,none,0.00017380023348158684,class
GP_npy,australian,GP,0.11775362318840576,0.12318840579710144,,,0.8822463768115942,0.8768115942028986,,,,none,0.0001811566560164742,class
GP_npy,australian,GP,0.125,0.07246376811594202,,,0.875,0.927536231884058,,,,none,0.00018104954042296478,class
GP_npy,australian,GP,0.1032608695652174,0.17391304347826086,,,0.8967391304347826,0.8260869565217391,,,,none,0.00018123785654703775,class
GP_npy,australian,GP,0.1032608695652174,0.17391304347826086,,,0.8967391304347826,0.8260869565217391,,,,none,0.00018838523090749547,class
GP_npy,australian,GP,0.1123188405797102,0.1376811594202898,,,0.8876811594202898,0.8623188405797102,,,,none,0.00018119639244632444,class
GP_npy,australian,GP,0.11956521739130432,0.15217391304347827,,,0.8804347826086957,0.8478260869565217,,,,none,0.00018842323966648269,class
GP_npy,australian,GP,0.11413043478260865,0.10869565217391308,,,0.8858695652173914,0.8913043478260869,,,,none,0.00019553087759709013,class
GP_npy,australian,GP,0.10507246376811596,0.16666666666666663,,,0.894927536231884,0.8333333333333334,,,,none,0.00018104435741037562,class
GP_npy,australian,GP,0.10507246376811596,0.15217391304347827,,,0.894927536231884,0.8478260869565217,,,,none,0.00018119466477546138,class
GP_npy,australian,GP,0.10869565217391308,0.14492753623188404,,,0.8913043478260869,0.855072463768116,,,,none,0.00018118602642114612,class
GP_npy,australian,GP,0.11050724637681164,0.16666666666666663,,,0.8894927536231884,0.8333333333333334,,,,none,0.0002319743667823681,class
GP_npy,australian,GP,0.11775362318840576,0.12318840579710144,,,0.8822463768115942,0.8768115942028986,,,,none,0.00018122749052185944,class
GP_npy,australian,GP,0.1159420289855072,0.10869565217391308,,,0.8840579710144928,0.8913043478260869,,,,none,0.00018118948176287222,class
GP_npy,australian,GP,0.11413043478260865,0.1594202898550725,,,0.8858695652173914,0.8405797101449275,,,,none,0.00018115147300388503,class
GP_npy,australian,GP,0.1159420289855072,0.13043478260869568,,,0.8840579710144928,0.8695652173913043,,,,none,0.00018118602642114612,class
GP_npy,australian,GP,0.12137681159420288,0.10144927536231885,,,0.8786231884057971,0.8985507246376812,,,,none,0.0001808923223744268,class
